岗位,公司,城市,薪资,经验,学历,JD描述,来源平台,收录时间
IoT解决方案架构师,数联未来,深圳,14-52K,5-10年,本科,"岗位描述：承担物模型、嵌入式开发模块的研发工作，深入使用物模型、嵌入式开发、单片机等技术栈，参与IoT平台、固件开发、NB-IoT能力建设。
任职要求：掌握物模型、嵌入式开发、单片机、IoT平台、固件开发、NB-IoT；具备扎实的数据结构与算法基础；有蓝牙经验加分。",synthetic-sample,2026-08-08
算法工程师,深瞳算法,广州,12-54K,1-3年,本科及以上,"我们正在寻找一位专注PyTorch、XGBoost方向的工程师。你将负责：基于PyTorch、XGBoost、知识图谱构建核心能力，推动模型压缩、排序学习、语音识别在实际业务中的应用。
要求：熟悉PyTorch、XGBoost、知识图谱、模型压缩、排序学习、语音识别；了解RLHF者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-09
机器人控制算法工程师,云脉智能,北京,37-59K,3-5年,本科,"岗位描述：承担小程序开发、Kubernetes模块的研发工作，深入使用小程序开发、Kubernetes、元宇宙等技术栈，参与脑机接口、iOS开发、自动化测试、机器人控制、微服务能力建设。
任职要求：掌握小程序开发、Kubernetes、元宇宙、脑机接口、iOS开发、自动化测试、机器人控制、微服务；具备扎实的数据结构与算法基础；有AGV、SpringCloud、工控系统经验加分。",synthetic-sample,2026-08-10
机器人控制算法工程师,星图数据,深圳,13-56K,5-10年,本科及以上,"岗位职责：
1. 负责协作机器人、智能合约相关系统的设计、开发与持续优化；
2. 参与协作机器人、智能合约方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握协作机器人、智能合约、AGV、iOS开发、ADAS、MySQL、信息安全；
2. 具备良好的工程素养与团队协作能力；
3. 有量子计算、Go语言、区块链相关经验者优先。",synthetic-sample,2026-08-11
大模型应用工程师,灵犀智造,合肥,39-56K,5-10年,本科及以上,"岗位职责：
1. 负责OpenCV、强化学习相关系统的设计、开发与持续优化；
2. 参与OpenCV、强化学习方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握OpenCV、强化学习、RLHF、模型微调、排序学习、MindSpore、计算机视觉、召回算法；
2. 具备良好的工程素养与团队协作能力；
3. 有搜索引擎、ASR相关经验者优先。",synthetic-sample,2026-08-12
数据治理专家,讯智科技,南京,28-52K,5-10年,本科及以上,"岗位职责：
1. 负责数据血缘、AB测试相关系统的设计、开发与持续优化；
2. 参与数据血缘、AB测试方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握数据血缘、AB测试、流式计算、OLAP、数据合规、Spark、Flink、实时计算；
2. 具备良好的工程素养与团队协作能力；
3. 有数据可视化相关经验者优先。",synthetic-sample,2026-08-13
NLP算法工程师,云脉智能,成都,21-55K,1-3年,硕士及以上,"岗位描述：承担机器学习、OCR模块的研发工作，深入使用机器学习、OCR、目标检测等技术栈，参与scikit-learn、特征工程、计算机视觉、PaddlePaddle能力建设。
任职要求：掌握机器学习、OCR、目标检测、scikit-learn、特征工程、计算机视觉、PaddlePaddle；具备扎实的数据结构与算法基础；有推理加速、AI芯片经验加分。",synthetic-sample,2026-08-14
AI平台开发工程师,慧眼科技,上海,19-52K,5-10年,硕士,"岗位职责：
1. 负责scikit-learn、NLP相关系统的设计、开发与持续优化；
2. 参与scikit-learn、NLP方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握scikit-learn、NLP、RAG、PaddlePaddle、深度学习、OCR、GPU加速、视频分析；
2. 具备良好的工程素养与团队协作能力；
3. 有智能体、排序学习、MLOps相关经验者优先。",synthetic-sample,2026-08-15
NLP算法工程师,天工智能,合肥,15-57K,5-10年,硕士,"岗位描述：承担搜索引擎、JAX模块的研发工作，深入使用搜索引擎、JAX、TensorRT等技术栈，参与语音识别、模型量化、AutoML、GPU加速能力建设。
任职要求：掌握搜索引擎、JAX、TensorRT、语音识别、模型量化、AutoML、GPU加速；具备扎实的数据结构与算法基础；有推理加速、智能体经验加分。",synthetic-sample,2026-08-16
系统安全工程师,慧眼科技,上海,39-45K,3-5年,本科及以上,"岗位职责：
1. 负责小程序开发、无人机相关系统的设计、开发与持续优化；
2. 参与小程序开发、无人机方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握小程序开发、无人机、渗透测试、分布式系统、元宇宙、SLAM；
2. 具备良好的工程素养与团队协作能力；
3. 有机器人控制相关经验者优先。",synthetic-sample,2026-08-17
边缘计算工程师,慧眼科技,合肥,34-60K,1-3年,硕士及以上,"岗位描述：承担Modbus、智能制造模块的研发工作，深入使用Modbus、智能制造、智能传感等技术栈，参与ARM 开发、NB-IoT、DCS、OTA升级、SCADA能力建设。
任职要求：掌握Modbus、智能制造、智能传感、ARM 开发、NB-IoT、DCS、OTA升级、SCADA；具备扎实的数据结构与算法基础；有边缘计算、PLC、智能座舱经验加分。",synthetic-sample,2026-08-18
数据分析师,光启云网,南京,12-43K,5-10年,硕士,"岗位描述：承担用户画像、数据集市模块的研发工作，深入使用用户画像、数据集市、数据可视化等技术栈，参与Hive、ClickHouse、隐私计算能力建设。
任职要求：掌握用户画像、数据集市、数据可视化、Hive、ClickHouse、隐私计算；具备扎实的数据结构与算法基础；有数据安全、HBase、数据清洗经验加分。",synthetic-sample,2026-08-19
后端开发工程师,光启云网,广州,35-45K,1-3年,硕士及以上,"岗位职责：
1. 负责无人机、DevOps相关系统的设计、开发与持续优化；
2. 参与无人机、DevOps方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握无人机、DevOps、iOS开发、SLAM、渗透测试、AMR、路径规划、PLC编程；
2. 具备良好的工程素养与团队协作能力；
3. 有信息安全、AGV、小程序开发相关经验者优先。",synthetic-sample,2026-08-20
IoT解决方案架构师,深瞳算法,成都,38-42K,5-10年,硕士,"岗位职责：
1. 负责端侧推理、RFID相关系统的设计、开发与持续优化；
2. 参与端侧推理、RFID方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握端侧推理、RFID、STM32、设备接入、边缘网关、ZigBee、NFC、V2X；
2. 具备良好的工程素养与团队协作能力；
3. 有智能传感、蓝牙相关经验者优先。",synthetic-sample,2026-08-21
大模型应用工程师,联创物联,上海,31-42K,5-10年,硕士及以上,"我们正在寻找一位专注推荐系统、OCR方向的工程师。你将负责：基于推荐系统、OCR、深度学习构建核心能力，推动语音合成、TensorFlow、模型压缩在实际业务中的应用。
要求：熟悉推荐系统、OCR、深度学习、语音合成、TensorFlow、模型压缩；了解Prompt工程者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-22
智能硬件开发工程师,星图数据,深圳,22-57K,1-3年,本科,"岗位职责：
1. 负责DCS、智能座舱相关系统的设计、开发与持续优化；
2. 参与DCS、智能座舱方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握DCS、智能座舱、智慧农业、预测性维护、智能家居、智能传感、NB-IoT；
2. 具备良好的工程素养与团队协作能力；
3. 有单片机、物模型、LoRa相关经验者优先。",synthetic-sample,2026-08-23
数据仓库工程师,星图数据,南京,28-44K,5-10年,本科及以上,"我们正在寻找一位专注隐私计算、Kafka方向的工程师。你将负责：基于隐私计算、Kafka、数据集市构建核心能力，推动数据建模、数据管道、数据中台、指标体系、数据质量在实际业务中的应用。
要求：熟悉隐私计算、Kafka、数据集市、数据建模、数据管道、数据中台、指标体系、数据质量；了解数据仓库者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-24
NLP算法工程师,深瞳算法,北京,22-52K,3-5年,硕士,"我们正在寻找一位专注LoRA、MindSpore方向的工程师。你将负责：基于LoRA、MindSpore、Prompt工程构建核心能力，推动RAG、Agent开发、目标检测、TensorRT、深度学习在实际业务中的应用。
要求：熟悉LoRA、MindSpore、Prompt工程、RAG、Agent开发、目标检测、TensorRT、深度学习；了解AI芯片、大语言模型、语音识别者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-25
大模型应用工程师,慧眼科技,上海,40-59K,5-10年,硕士,"岗位职责：
1. 负责TensorFlow、GPU加速相关系统的设计、开发与持续优化；
2. 参与TensorFlow、GPU加速方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握TensorFlow、GPU加速、目标检测、模型压缩、语音合成、RAG、MLOps；
2. 具备良好的工程素养与团队协作能力；
3. 有模型微调、LLM相关经验者优先。",synthetic-sample,2026-08-26
自动驾驶感知工程师,深瞳算法,成都,24-52K,5-10年,硕士及以上,"岗位描述：承担前端开发、云计算模块的研发工作，深入使用前端开发、云计算、Docker等技术栈，参与脑机接口、飞控、无人机、SLAM能力建设。
任职要求：掌握前端开发、云计算、Docker、脑机接口、飞控、无人机、SLAM；具备扎实的数据结构与算法基础；有中间件开发经验加分。",synthetic-sample,2026-08-27
测试开发工程师,讯智科技,深圳,16-59K,3-5年,本科及以上,"岗位描述：承担量子计算、信息安全模块的研发工作，深入使用量子计算、信息安全、AGV等技术栈，参与前端开发、决策规划、云计算能力建设。
任职要求：掌握量子计算、信息安全、AGV、前端开发、决策规划、云计算；具备扎实的数据结构与算法基础；有工控系统、小程序开发经验加分。",synthetic-sample,2026-08-28
BI开发工程师,光启云网,广州,23-59K,1-3年,硕士及以上,"我们正在寻找一位专注Tableau、数据安全方向的工程师。你将负责：基于Tableau、数据安全、数据可视化构建核心能力，推动ETL、数据中台、数据建模在实际业务中的应用。
要求：熟悉Tableau、数据安全、数据可视化、ETL、数据中台、数据建模；了解实时数仓、AB测试者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-01
数据治理专家,联创物联,杭州,23-53K,3-5年,本科,"岗位描述：承担用户画像、Flink模块的研发工作，深入使用用户画像、Flink、数据质量等技术栈，参与Spark、AB测试、指标体系、数据可视化能力建设。
任职要求：掌握用户画像、Flink、数据质量、Spark、AB测试、指标体系、数据可视化；具备扎实的数据结构与算法基础；有PowerBI、维度建模经验加分。",synthetic-sample,2026-08-02
大数据开发工程师,星图数据,南京,34-48K,3-5年,本科,"岗位描述：承担数据质量、主数据管理模块的研发工作，深入使用数据质量、主数据管理、数据可视化等技术栈，参与数据治理、Hive、流式计算、ClickHouse、隐私计算能力建设。
任职要求：掌握数据质量、主数据管理、数据可视化、数据治理、Hive、流式计算、ClickHouse、隐私计算；具备扎实的数据结构与算法基础；有实时数仓、OLAP、数据脱敏经验加分。",synthetic-sample,2026-08-03
嵌入式软件工程师,讯智科技,深圳,39-41K,经验不限,本科,"岗位描述：承担端侧推理、V2X模块的研发工作，深入使用端侧推理、V2X、FreeRTOS等技术栈，参与OPC UA、嵌入式Linux、设备管理、单片机、STM32能力建设。
任职要求：掌握端侧推理、V2X、FreeRTOS、OPC UA、嵌入式Linux、设备管理、单片机、STM32；具备扎实的数据结构与算法基础；有5G通信、WiFi6经验加分。",synthetic-sample,2026-08-04
智能硬件开发工程师,讯智科技,合肥,16-42K,经验不限,硕士及以上,"岗位描述：承担设备接入、MEMS模块的研发工作，深入使用设备接入、MEMS、5G通信等技术栈，参与单片机、物模型、V2X、预测性维护能力建设。
任职要求：掌握设备接入、MEMS、5G通信、单片机、物模型、V2X、预测性维护；具备扎实的数据结构与算法基础；有SCADA经验加分。",synthetic-sample,2026-08-05
计算机视觉工程师,光启云网,南京,40-57K,5-10年,硕士及以上,"岗位职责：
1. 负责LoRA、强化学习相关系统的设计、开发与持续优化；
2. 参与LoRA、强化学习方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握LoRA、强化学习、推荐算法、OpenCV、scikit-learn、LLM、深度学习；
2. 具备良好的工程素养与团队协作能力；
3. 有多模态大模型、模型量化相关经验者优先。",synthetic-sample,2026-08-06
边缘计算工程师,云脉智能,深圳,22-48K,5-10年,本科及以上,"岗位职责：
1. 负责传感器、智能座舱相关系统的设计、开发与持续优化；
2. 参与传感器、智能座舱方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握传感器、智能座舱、LoRa、智能传感、智能家居、智慧医疗；
2. 具备良好的工程素养与团队协作能力；
3. 有工业物联网相关经验者优先。",synthetic-sample,2026-08-07
工业互联网工程师,灵犀智造,南京,26-45K,3-5年,硕士及以上,"岗位描述：承担IIoT、工业物联网模块的研发工作，深入使用IIoT、工业物联网、固件开发等技术栈，参与边缘计算、V2X、ARM 开发、端侧推理、CoAP能力建设。
任职要求：掌握IIoT、工业物联网、固件开发、边缘计算、V2X、ARM 开发、端侧推理、CoAP；具备扎实的数据结构与算法基础；有FreeRTOS、智能家居经验加分。",synthetic-sample,2026-08-08
后端开发工程师,天工智能,杭州,21-44K,经验不限,硕士及以上,"岗位职责：
1. 负责iOS开发、区块链相关系统的设计、开发与持续优化；
2. 参与iOS开发、区块链方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握iOS开发、区块链、运动控制、前端开发、微服务、性能测试；
2. 具备良好的工程素养与团队协作能力；
3. 有感知算法相关经验者优先。",synthetic-sample,2026-08-09
工业互联网工程师,慧眼科技,广州,26-44K,3-5年,硕士及以上,"岗位职责：
1. 负责边缘网关、FreeRTOS相关系统的设计、开发与持续优化；
2. 参与边缘网关、FreeRTOS方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握边缘网关、FreeRTOS、RTOS、智慧医疗、边缘计算、OTA升级、端侧推理、ARM 开发；
2. 具备良好的工程素养与团队协作能力；
3. 有单片机相关经验者优先。",synthetic-sample,2026-08-10
系统安全工程师,灵犀智造,成都,37-52K,经验不限,硕士,"岗位描述：承担Java开发、激光雷达模块的研发工作，深入使用Java开发、激光雷达、前端开发等技术栈，参与车路协同、C++ 开发、MongoDB能力建设。
任职要求：掌握Java开发、激光雷达、前端开发、车路协同、C++ 开发、MongoDB；具备扎实的数据结构与算法基础；有协作机器人、后端开发经验加分。",synthetic-sample,2026-08-11
推荐算法工程师,深瞳算法,成都,39-42K,3-5年,本科,"岗位职责：
1. 负责深度学习、MindSpore相关系统的设计、开发与持续优化；
2. 参与深度学习、MindSpore方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握深度学习、MindSpore、特征工程、Prompt工程、推荐系统、模型微调；
2. 具备良好的工程素养与团队协作能力；
3. 有ASR相关经验者优先。",synthetic-sample,2026-08-12
系统安全工程师,深瞳算法,广州,40-44K,3-5年,硕士,"我们正在寻找一位专注云计算、测试开发方向的工程师。你将负责：基于云计算、测试开发、飞控构建核心能力，推动PLC编程、元宇宙、渗透测试、脑机接口、AGV在实际业务中的应用。
要求：熟悉云计算、测试开发、飞控、PLC编程、元宇宙、渗透测试、脑机接口、AGV；了解自动化测试、DevOps、网络安全者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-13
系统安全工程师,数联未来,广州,18-43K,5-10年,硕士及以上,"岗位描述：承担决策规划、性能测试模块的研发工作，深入使用决策规划、性能测试、容器化等技术栈，参与网络安全、工控系统、协作机器人、飞控、PLC编程能力建设。
任职要求：掌握决策规划、性能测试、容器化、网络安全、工控系统、协作机器人、飞控、PLC编程；具备扎实的数据结构与算法基础；有渗透测试、测试开发经验加分。",synthetic-sample,2026-08-14
数据分析师,慧眼科技,上海,37-53K,3-5年,硕士,"我们正在寻找一位专注数据质量、ClickHouse方向的工程师。你将负责：基于数据质量、ClickHouse、数据可视化构建核心能力，推动Hive、实时计算、湖仓一体在实际业务中的应用。
要求：熟悉数据质量、ClickHouse、数据可视化、Hive、实时计算、湖仓一体；了解指标体系、数据中台者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-15
物联网平台工程师,联创物联,北京,36-43K,1-3年,本科,"岗位职责：
1. 负责单片机、CoAP相关系统的设计、开发与持续优化；
2. 参与单片机、CoAP方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握单片机、CoAP、智慧农业、数字孪生、边缘计算、MEMS、工业物联网、ZigBee；
2. 具备良好的工程素养与团队协作能力；
3. 有设备接入、边缘网关相关经验者优先。",synthetic-sample,2026-08-16
实时计算工程师,数联未来,合肥,39-44K,1-3年,本科及以上,"我们正在寻找一位专注帆软FineBI、指标体系方向的工程师。你将负责：基于帆软FineBI、指标体系、实时计算构建核心能力，推动实时数仓、隐私计算、HBase、湖仓一体、数据集市在实际业务中的应用。
要求：熟悉帆软FineBI、指标体系、实时计算、实时数仓、隐私计算、HBase、湖仓一体、数据集市；了解数据中台、数据湖、Kafka者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-17
机器人控制算法工程师,深瞳算法,上海,29-45K,3-5年,硕士,"我们正在寻找一位专注Docker、区块链方向的工程师。你将负责：基于Docker、区块链、测试开发构建核心能力，推动智能合约、消息队列、元宇宙、小程序开发、决策规划在实际业务中的应用。
要求：熟悉Docker、区块链、测试开发、智能合约、消息队列、元宇宙、小程序开发、决策规划；了解飞控、ROS者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-18
数据仓库工程师,灵犀智造,深圳,27-52K,3-5年,硕士及以上,"岗位描述：承担流式计算、主数据管理模块的研发工作，深入使用流式计算、主数据管理、数据可视化等技术栈，参与指标体系、数据集市、HBase能力建设。
任职要求：掌握流式计算、主数据管理、数据可视化、指标体系、数据集市、HBase；具备扎实的数据结构与算法基础；有Spark、数据仓库、元数据管理经验加分。",synthetic-sample,2026-08-19
后端开发工程师,数联未来,深圳,26-46K,经验不限,本科及以上,"我们正在寻找一位专注毫米波雷达、Go语言方向的工程师。你将负责：基于毫米波雷达、Go语言、信息安全构建核心能力，推动SpringCloud、机器人控制、SLAM、iOS开发在实际业务中的应用。
要求：熟悉毫米波雷达、Go语言、信息安全、SpringCloud、机器人控制、SLAM、iOS开发；了解MySQL、Android开发者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-20
推荐算法工程师,天工智能,深圳,32-46K,1-3年,硕士,"我们正在寻找一位专注迁移学习、GPU加速方向的工程师。你将负责：基于迁移学习、GPU加速、特征工程构建核心能力，推动计算机视觉、机器学习、文本分类、MindSpore、对话系统在实际业务中的应用。
要求：熟悉迁移学习、GPU加速、特征工程、计算机视觉、机器学习、文本分类、MindSpore、对话系统；了解知识图谱、TensorFlow者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-21
大数据开发工程师,慧眼科技,合肥,17-46K,5-10年,硕士,"我们正在寻找一位专注Kafka、数据建模方向的工程师。你将负责：基于Kafka、数据建模、PowerBI构建核心能力，推动AB测试、元数据管理、Hive在实际业务中的应用。
要求：熟悉Kafka、数据建模、PowerBI、AB测试、元数据管理、Hive；了解数据中台者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-22
自动驾驶感知工程师,灵犀智造,成都,13-51K,5-10年,硕士,"我们正在寻找一位专注ADAS、Java开发方向的工程师。你将负责：基于ADAS、Java开发、脑机接口构建核心能力，推动Go语言、iOS开发、C++ 开发、协作机器人、自动驾驶在实际业务中的应用。
要求：熟悉ADAS、Java开发、脑机接口、Go语言、iOS开发、C++ 开发、协作机器人、自动驾驶；了解小程序开发、网络安全者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-23
推荐算法工程师,灵犀智造,合肥,39-50K,5-10年,本科,"岗位职责：
1. 负责CUDA、Agent开发相关系统的设计、开发与持续优化；
2. 参与CUDA、Agent开发方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握CUDA、Agent开发、MindSpore、自然语言处理、LangChain、召回算法；
2. 具备良好的工程素养与团队协作能力；
3. 有联邦学习、RLHF、RAG相关经验者优先。",synthetic-sample,2026-08-24
IoT解决方案架构师,联创物联,合肥,18-47K,5-10年,本科及以上,"我们正在寻找一位专注设备管理、智慧城市方向的工程师。你将负责：基于设备管理、智慧城市、LoRa构建核心能力，推动智能家居、智能座舱、智慧农业、边缘计算、V2X在实际业务中的应用。
要求：熟悉设备管理、智慧城市、LoRa、智能家居、智能座舱、智慧农业、边缘计算、V2X；了解DCS者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-25
智能硬件开发工程师,天工智能,上海,34-55K,经验不限,硕士,"岗位描述：承担智慧农业、车联网模块的研发工作，深入使用智慧农业、车联网、蓝牙等技术栈，参与V2X、STM32、单片机、智能制造能力建设。
任职要求：掌握智慧农业、车联网、蓝牙、V2X、STM32、单片机、智能制造；具备扎实的数据结构与算法基础；有ZigBee、边缘网关、ARM 开发经验加分。",synthetic-sample,2026-08-26
数据治理专家,光启云网,南京,38-59K,经验不限,硕士及以上,"岗位职责：
1. 负责Hadoop、Flink相关系统的设计、开发与持续优化；
2. 参与Hadoop、Flink方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握Hadoop、Flink、数据集市、Tableau、数据可视化、OLAP；
2. 具备良好的工程素养与团队协作能力；
3. 有主数据管理、数据清洗相关经验者优先。",synthetic-sample,2026-08-27
嵌入式软件工程师,云脉智能,广州,13-41K,5-10年,本科,"岗位描述：承担智能传感、MEMS模块的研发工作，深入使用智能传感、MEMS、智能座舱等技术栈，参与物模型、LoRa、IoT平台能力建设。
任职要求：掌握智能传感、MEMS、智能座舱、物模型、LoRa、IoT平台；具备扎实的数据结构与算法基础；有智慧城市、PLC经验加分。",synthetic-sample,2026-08-28
物联网平台工程师,星图数据,南京,31-41K,经验不限,硕士,"我们正在寻找一位专注嵌入式Linux、IIoT方向的工程师。你将负责：基于嵌入式Linux、IIoT、MEMS构建核心能力，推动NFC、设备接入、多传感融合在实际业务中的应用。
要求：熟悉嵌入式Linux、IIoT、MEMS、NFC、设备接入、多传感融合；了解CoAP者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-01
智能硬件开发工程师,光启云网,北京,30-46K,1-3年,本科及以上,"我们正在寻找一位专注物联网平台、IoT平台方向的工程师。你将负责：基于物联网平台、IoT平台、多传感融合构建核心能力，推动WiFi6、物模型、端侧推理在实际业务中的应用。
要求：熟悉物联网平台、IoT平台、多传感融合、WiFi6、物模型、端侧推理；了解嵌入式开发、RFID、边缘计算者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-02
算法工程师,数联未来,上海,28-54K,1-3年,本科及以上,"岗位职责：
1. 负责AI芯片、vLLM相关系统的设计、开发与持续优化；
2. 参与AI芯片、vLLM方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握AI芯片、vLLM、命名实体识别、RAG、迁移学习、联邦学习、scikit-learn；
2. 具备良好的工程素养与团队协作能力；
3. 有推荐算法、多模态大模型相关经验者优先。",synthetic-sample,2026-08-03
系统安全工程师,光启云网,南京,33-43K,经验不限,本科及以上,"我们正在寻找一位专注消息队列、中间件开发方向的工程师。你将负责：基于消息队列、中间件开发、飞控构建核心能力，推动渗透测试、Go语言、Docker、SLAM在实际业务中的应用。
要求：熟悉消息队列、中间件开发、飞控、渗透测试、Go语言、Docker、SLAM；了解测试开发、区块链者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-04
云原生开发工程师,数联未来,上海,38-56K,1-3年,本科及以上,"岗位描述：承担渗透测试、Android开发模块的研发工作，深入使用渗透测试、Android开发、Redis等技术栈，参与区块链、微服务、C++ 开发能力建设。
任职要求：掌握渗透测试、Android开发、Redis、区块链、微服务、C++ 开发；具备扎实的数据结构与算法基础；有中间件开发、毫米波雷达经验加分。",synthetic-sample,2026-08-05
工业互联网工程师,云脉智能,成都,26-58K,3-5年,硕士,"岗位描述：承担DCS、FreeRTOS模块的研发工作，深入使用DCS、FreeRTOS、嵌入式开发等技术栈，参与多传感融合、车联网、STM32、数字孪生、物模型能力建设。
任职要求：掌握DCS、FreeRTOS、嵌入式开发、多传感融合、车联网、STM32、数字孪生、物模型；具备扎实的数据结构与算法基础；有固件开发、5G通信、OTA升级经验加分。",synthetic-sample,2026-08-06
NLP算法工程师,慧眼科技,北京,12-46K,1-3年,本科及以上,"岗位职责：
1. 负责语义理解、GPU加速相关系统的设计、开发与持续优化；
2. 参与语义理解、GPU加速方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握语义理解、GPU加速、RAG、MLOps、推荐系统、JAX、OpenCV；
2. 具备良好的工程素养与团队协作能力；
3. 有LangChain相关经验者优先。",synthetic-sample,2026-08-07
系统安全工程师,联创物联,深圳,13-44K,1-3年,硕士,"我们正在寻找一位专注消息队列、智能合约方向的工程师。你将负责：基于消息队列、智能合约、SpringCloud构建核心能力，推动飞控、分布式系统、脑机接口、网络安全在实际业务中的应用。
要求：熟悉消息队列、智能合约、SpringCloud、飞控、分布式系统、脑机接口、网络安全；了解区块链、C++ 开发、MySQL者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-08
